,playerID,FPCT,POS,G,SH,OBP,AB/G,HR/G,SB/G,RBI/G,IBB/G,SF/G,debut,finalGame,weight,servingDays,debutAge,inducted
4092,levinal01,0.9641286411621338,P,416,0.0,0.0,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,1996-06-22,2005-06-10,180.0,3275.0,28.493150684931507,N
4093,levisje01,0.9939232764912971,C,319,10.0,0.33557951482479786,2.050156739811912,0.009404388714733543,0.006269592476489028,0.18808777429467086,0.006269592476489028,0.018808777429467086,1992-04-24,2001-10-07,180.0,3453.0,24.328767123287673,N
4094,levraal01,0.9682539682539683,P,56,6.0,0.075,0.6785714285714286,0.0,0.0,0.017857142857142856,0.0,0.017857142857142856,2000-06-13,2003-06-27,240.0,1109.0,23.46301369863014,N
4095,lewalde01,1.0,P,34,1.0,0.07692307692307693,0.38235294117647056,0.0,0.0,0.029411764705882353,0.0,0.0,1975-09-21,1982-04-27,200.0,2410.0,22.734246575342464,N
4096,lewisal01,0.9666666666666667,OF,156,1.0,0.23333333333333334,0.1858974358974359,0.00641025641025641,0.28205128205128205,0.019230769230769232,0.0,0.0,1967-04-11,1973-09-30,170.0,2364.0,26.29041095890411,N
4097,lewisda01,0.9944904248859228,OF,1354,101.0,0.3234453966161283,3.014032496307238,0.019940915805022157,0.18242245199409157,0.25258493353028066,0.0007385524372230429,0.014032496307237814,1990-08-21,2002-07-30,180.0,4361.0,23.65205479452055,N
4098,lewisfr02,0.971320698879462,OF,535,3.0,0.3443181818181818,2.919626168224299,0.05046728971962617,0.09906542056074766,0.2542056074766355,0.018691588785046728,0.013084112149532711,2006-09-01,2012-10-02,205.0,2223.0,26.684931506849313,N
4099,lewisje01,0.9375,P,161,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,2007-07-16,2010-10-01,240.0,1173.0,23.553424657534247,N
4100,lewisji02,0.8333333333333334,P,12,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1991-08-09,1991-10-05,200.0,57.0,27.621917808219177,N
4101,lewisjo01,0.9819593463160506,OF,266,4.0,0.3130733944954128,2.898496240601504,0.08270676691729323,0.03007518796992481,0.2781954887218045,0.018796992481203006,0.011278195488721804,1964-04-14,1967-06-11,189.0,1153.0,25.301369863013697,N
4102,lewisma01,0.9185834771573582,2B,902,16.0,0.31235584843492586,3.098669623059867,0.05321507760532151,0.03215077605321508,0.3392461197339246,0.008869179600886918,0.031042128603104215,1991-04-26,2001-05-30,190.0,3687.0,22.328767123287673,N
4103,lewisri01,0.8881890168654875,P,217,1.0,0.3333333333333333,0.04608294930875576,0.0,0.0,0.004608294930875576,0.0,0.0,1992-07-31,1998-06-04,175.0,2134.0,26.5972602739726,N
4104,lewisro01,1.0,P,20,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2010-04-28,2011-09-06,230.0,496.0,28.339726027397262,N
4105,leyriji01,0.994750727126568,C,903,8.0,0.3620047409414155,2.798449612403101,0.09966777408637874,0.007751937984496124,0.42857142857142855,0.017718715393133997,0.026578073089700997,1990-06-08,2000-09-13,190.0,3750.0,27.45205479452055,N
4106,lezcaca01,0.974025974025974,OF,49,2.0,0.2672413793103448,2.0816326530612246,0.061224489795918366,0.02040816326530612,0.2857142857142857,0.0,0.04081632653061224,1980-04-10,1981-06-10,185.0,426.0,25.29041095890411,N
4107,lezcasi01,0.9797476141362392,OF,1291,39.0,0.35958115183246075,3.2021688613477926,0.11463981409759876,0.02865995352439969,0.45778466305189774,0.02865995352439969,0.03563129357087529,1974-09-10,1985-09-29,165.0,4037.0,21.704109589041096,N
4108,libkeal01,1.0,P,254,8.0,0.32916666666666666,3.4645669291338583,0.03543307086614173,0.023622047244094488,0.37401574803149606,0.0,0.0,1945-04-19,1946-09-29,215.0,528.0,27.315068493150687,N
4109,librafr01,1.0,SS,10,0.0,0.18181818181818182,1.0,0.0,0.0,0.1,0.0,0.0,1969-09-03,1969-09-28,168.0,25.0,21.687671232876713,N
4110,liddeda01,1.0,C,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1990-06-03,1990-06-03,190.0,0.0,24.435616438356163,N
4111,liddldo01,0.9393976393976393,P,119,11.0,0.2727272727272727,0.9411764705882353,0.0,0.0,0.04201680672268908,0.0,0.008403361344537815,1953-04-17,1956-09-19,165.0,1251.0,28.30958904109589,N
4112,lidgebr01,0.9600399600399601,P,603,0.0,0.2857142857142857,0.011608623548922056,0.0,0.0,0.003316749585406302,0.0,0.0,2002-04-26,2012-06-16,210.0,3704.0,26.334246575342465,N
4113,lidleco01,0.9823764081473151,P,277,21.0,0.17318435754189945,0.6137184115523465,0.0036101083032490976,0.0,0.02888086642599278,0.0,0.0,1997-05-08,2006-10-01,175.0,3433.0,25.367123287671234,N
4114,liebejo01,0.949385191868369,P,405,55.0,0.17857142857142858,1.511111111111111,0.0,0.0,0.06172839506172839,0.0,0.0049382716049382715,1994-05-15,2008-09-05,220.0,5227.0,24.383561643835616,N
4115,liebemi01,0.989277091029294,C,1212,10.0,0.33703308431163287,3.48019801980198,0.12376237623762376,0.006600660066006601,0.5033003300330033,0.028052805280528052,0.03547854785478548,1994-06-30,2007-09-22,170.0,4832.0,22.50958904109589,N
4116,liefeje01,1.0,OF,288,1.0,0.28113879003558717,2.704861111111111,0.1076388888888889,0.006944444444444444,0.3923611111111111,0.013888888888888888,0.020833333333333332,1999-04-07,2005-09-30,195.0,2368.0,25.279452054794522,N
4117,ligteke01,0.875,P,386,0.0,0.0,0.0025906735751295338,0.0,0.0,0.0,0.0,0.0,1997-08-12,2005-05-29,185.0,2847.0,26.63013698630137,N
4118,lillibo01,0.8685853365424347,SS,817,40.0,0.2696858425132599,2.8494492044063646,0.0036719706242350062,0.028151774785801713,0.16768665850673195,0.01591187270501836,0.01346389228886169,1958-08-17,1967-09-17,160.0,3318.0,28.643835616438356,N
4119,lillide01,0.9827305311176278,P,267,5.0,0.22018348623853212,0.4044943820224719,0.00749063670411985,0.0,0.0299625468164794,0.0,0.0,1989-04-13,1996-09-06,200.0,2703.0,23.295890410958904,N
