,playerID,ERA,WHIP,W-L,G,debut,finalGame,weight,servingDays,debutAge,inducted
2023,lauzege01,3.4725,1.3941176470588235,0.3333333333333333,34,1967-09-17,1970-05-28,180.0,984.0,20.723287671232878,N
2024,lavelga01,3.4214285714285717,1.3308755760368665,0.5095541401273885,745,1974-09-10,1987-10-03,190.0,4771.0,25.706849315068492,N
2025,lawrebr01,5.325714285714286,1.3635490070467648,0.5267175572519084,275,1954-06-24,1960-05-01,205.0,2138.0,29.495890410958904,N
2026,lawrebr02,4.5183333333333335,1.340602284527518,0.44247787610619466,170,2001-04-15,2007-09-17,195.0,2346.0,25.304109589041097,N
2027,lawrese01,7.32,1.7796610169491525,0.6666666666666666,7,1998-08-25,1998-09-22,215.0,28.0,28.665753424657535,N
2028,lawro01,4.99,1.9490445859872612,0.42857142857142855,35,1969-06-29,1969-09-30,165.0,93.0,23.506849315068493,N
2029,lawve01,3.9693749999999994,1.283682634730539,0.5242718446601942,516,1950-06-11,1967-08-20,195.0,6279.0,20.454794520547946,N
2030,laxtobi01,6.466666666666666,1.5205479452054795,0.23076923076923073,121,1970-09-15,1977-09-19,190.0,2561.0,22.720547945205478,N
2031,laxtobr01,7.775,1.9746835443037973,0.0,9,1999-06-21,2000-07-13,205.0,388.0,26.484931506849314,N
2032,layanti01,10.986666666666666,1.529220779220779,0.5,79,1990-04-09,1993-07-26,195.0,1204.0,26.28767123287671,N
2033,lazarda01,5.29,1.4705882352941175,0.0,17,1968-06-21,1969-10-02,190.0,468.0,25.487671232876714,N
2034,lazorja01,3.968,1.3828828828828832,0.3846153846153846,69,1984-06-04,1988-09-27,200.0,1576.0,28.443835616438356,N
2035,leach01,8.348571428571429,1.3050541516245486,0.5636363636363636,152,1980-06-12,1988-10-01,194.0,3033.0,24.46301369863014,N
2036,leachbr01,5.75,1.3770491803278688,1.0,38,2009-05-06,2009-07-28,225.0,83.0,27.361643835616437,N
2037,leachte01,3.1691666666666674,1.2642857142857142,0.5846153846153846,376,1981-08-12,1993-06-23,215.0,4333.0,27.63013698630137,N
2038,leallu01,4.348333333333334,1.3615221987315012,0.4678899082568808,165,1980-05-25,1985-06-29,205.0,1861.0,23.410958904109588,N
2039,learyti01,4.312666666666667,1.4114886008046492,0.42622950819672134,293,1981-04-12,1994-08-09,205.0,4867.0,23.293150684931508,N
2040,ledezwi01,6.289166666666667,1.6047098402018505,0.375,192,2003-04-02,2011-08-28,225.0,3070.0,22.263013698630136,N
2041,leebi03,3.8649999999999998,1.364477970169724,0.569377990430622,419,1969-06-25,1982-05-07,205.0,4699.0,23.495890410958904,N
2042,leebo01,3.518333333333333,1.213802435723951,0.5208333333333334,269,1964-04-15,1968-08-25,225.0,1593.0,27.304109589041097,N
2043,leeco01,27.0,3.0,0.0,1,1999-08-24,1999-08-24,180.0,0.0,25.660273972602738,N
2044,leeda01,6.714,1.638728323699422,0.7142857142857143,96,1999-05-22,2004-04-23,200.0,1798.0,26.4027397260274,N
2045,leedo01,4.504166666666667,1.337625754527163,0.4761904761904762,244,1957-04-23,1966-08-21,205.0,3407.0,23.323287671232876,N
2046,leema01,3.77,1.4429657794676807,0.4666666666666667,118,1978-04-23,1981-10-04,225.0,1260.0,25.323287671232876,N
2047,leema03,3.6075,1.4371727748691099,0.5,116,1988-09-08,1995-09-24,198.0,2572.0,24.704109589041096,N
2048,leemi01,2.9050000000000002,1.7428571428571429,0.5,13,1960-05-06,1963-09-22,220.0,1234.0,19.356164383561644,N
2049,leero01,11.57,1.5714285714285716,0.0,3,1945-09-23,1945-09-29,175.0,6.0,28.745205479452054,N
2050,leffecr01,3.5607142857142855,1.2481815536805354,0.4461538461538462,697,1983-04-07,1994-07-03,180.0,4105.0,26.279452054794522,N
2051,leftwph01,5.609999999999999,1.4455445544554455,0.3461538461538461,34,1993-07-29,1996-05-06,205.0,1012.0,24.589041095890412,N
2052,lehmake01,3.5766666666666667,1.388679245283019,0.5833333333333334,138,1952-09-05,1961-09-30,170.0,3312.0,24.695890410958903,N
2053,lehrju01,5.777500000000001,1.5505617977528092,0.6,77,2004-06-20,2009-10-02,205.0,1930.0,27.484931506849314,N
2054,leibrch01,3.5471428571428576,1.3197573656845756,0.5405405405405406,394,1979-09-17,1993-09-21,195.0,5118.0,23.726027397260275,N
2055,leicejo01,6.826666666666667,1.5,0.5384615384615384,48,2004-06-09,2007-09-28,220.0,1206.0,25.454794520547946,N
2056,leipeda01,5.03090909090909,1.4244604316546763,0.6,264,1984-09-02,1996-09-22,160.0,4403.0,22.684931506849313,N
2057,leistjo01,6.9799999999999995,2.0,0.0,10,1987-05-28,1990-04-16,200.0,1054.0,26.41917808219178,N
2058,leiteal01,5.358095238095238,1.3864491844416564,0.5510204081632654,419,1987-09-15,2005-10-02,200.0,6592.0,22.71780821917808,N
2059,leitema01,4.816666666666666,1.3754573599774838,0.4710144927536232,335,1990-07-24,2001-10-07,200.0,4093.0,27.578082191780823,N
